"horizon","n_samples","pct_total","n_sites","mean_biomass","sd_biomass","mean_FB","sd_FB","mean_stress","sd_stress","mean_GPGN","sd_GPGN"
"M",9054,79.4,47,127.51,204.34,0.075,0.069,1.14,2.23,2.51,3.95
"O",2345,20.6,27,988.96,489.22,0.208,0.207,0.78,0.64,1.5,1.26
